TITLE,AUTHOR,FILEPATH
Dragon's blood,['Henry Milner Rideout'],./data/1/0/3/2/10321/10321/10321.txt
Miss Prudence,['Jennie Maria  Conklin'],./data/1/0/3/2/10322/10322/10322.txt
The Rover Boys at College,['Edward Stratemeyer'],./data/1/0/3/2/10323/10323.txt
Bull Hunter,['Max Brand'],./data/1/0/3/2/10324/10324/10324.txt
The Gospel of the Pentateuch,['Charles Kingsley'],./data/1/0/3/2/10325/10325.txt
David,['Charles Kingsley'],./data/1/0/3/2/10326/10326.txt
Alias The Lone Wolf,['Louis Joseph Vance'],./data/1/0/3/2/10327/10327/10327.txt
Poems,['Walter R. Cassels'],./data/1/0/3/2/10328/10328/10328.txt
Snubby Nose and Tippy Toes,['Laura Rountree Smith'],./data/1/0/3/2/10329/10329/10329.txt
Fruitfulness,['Emile Zola'],./data/1/0/3/3/10330/10330.txt
"The Mirror of Literature, Amusement, and Instruction",['Various'],./data/1/0/3/3/10331/10331/10331.txt
"The Mirror of Literature, Amusement, and Instruction",['Various'],./data/1/0/3/3/10332/10332/10332.txt
The European Anarchy,['G. Lowes Dickinson'],./data/1/0/3/3/10333/10333.txt
Children's Rights and Others,['Kate Douglas Smith Wiggin'],./data/1/0/3/3/10335/10335/10335.txt
"A Select Collection of Old English Plays, Vol. VII (4th edition)",['Various'],./data/1/0/3/3/10336/10336.txt
Lady Into Fox,['David Garnett'],./data/1/0/3/3/10337/10337.txt
With the Turks in Palestine,['Alexander Aaronsohn'],./data/1/0/3/3/10338/10338/10338.txt
An Antarctic Mystery,['Jules Verne'],./data/1/0/3/3/10339/10339-0.txt
Dab Kinzer,['William O. Stoddard'],./data/1/0/3/4/10340/10340/10340.txt
"The Great Events by Famous Historians, Vol. 21","['Charles F. Horne', 'Editor']",./data/1/0/3/4/10341/10341/10341.txt
The Velvet Glove,['Henry Seton Merriman'],./data/1/0/3/4/10342/10342/10342.txt
"The Works of Charles and Mary Lamb, Volume 2",['Charles Lamb'],./data/1/0/3/4/10343/10343.txt
Domestic Manners of the Americans,['Fanny Trollope'],./data/1/0/3/4/10345/10345.txt
Audio: Go to Sea Once More,['Roger McGuinn'],./data/1/0/3/4/10348/10348.txt
"The Works of Samuel Johnson, Vol. 6",['Samuel Johnson'],./data/1/0/3/5/10350/10350/10350.txt
"The Works of Samuel Johnson, Vol. 10.",['Samuel Johnson'],./data/1/0/3/5/10351/10351.txt
"The Works of Samuel Johnson, Vol. 11.",['Samuel Johnson'],./data/1/0/3/5/10352/10352/10352.txt
"Travels in Morocco, Vol. 1.",['James Richardson'],./data/1/0/3/5/10355/10355.txt
"Travels in Morocco, Vol. 2.",['James Richardson'],./data/1/0/3/5/10356/10356.txt
"Life Of Johnson, Volume 4 (of 6)",['Boswell'],./data/1/0/3/5/10357/10357.txt
The Boss of Little Arcady,['Harry Leon Wilson'],./data/1/0/3/5/10358/10358.txt
Aunt Jane's Nieces at Millville,['Edith Van Dyne'],./data/1/0/3/5/10359/10359.txt
Kitty's Class Day And Other Stories,['Louisa M. Alcott'],./data/1/0/3/6/10360/10360.txt
The Creative Process in the Individual,['Thomas Troward'],./data/1/0/3/6/10361/10361.txt
Sketches of the East Africa Campaign,['Robert Valentine Dolbey'],./data/1/0/3/6/10362/10362.txt
The Bravo,['J. Fenimore Cooper'],./data/1/0/3/6/10363/10363/10363.txt
Yeast: A Problem,['Charles Kingsley'],./data/1/0/3/6/10364/10364.txt
Freedom's Battle,['Mahatma Gandhi'],./data/1/0/3/6/10366/10366.txt
Poems,['Sir John Carr'],./data/1/0/3/6/10367/10367/10367.txt
The Vizier of the Two-Horned Alexander,['Frank R. Stockton'],./data/1/0/3/6/10368/10368/10368.txt
"Memoir and Diary of John Yeardley, Minister of the Gospel",['John Yeardley'],./data/1/0/3/6/10369/10369/10369.txt
Sustained honor,['John R. Musick'],./data/1/0/3/7/10370/10370/10370.txt
The Cinema Murder,['E. Phillips Oppenheim'],./data/1/0/3/7/10371/10371/10371.txt
